word_index	level	word	pinyin	pinyin_numbered	pinyin_cc-cedict	part_of_speech
1600	4	全都	quándōu	quan2 dou1	quan2 dou1	副
1601	4	全球	quánqiú	quan2 qiu2	quan2 qiu2	名
1602	4	全身	quánshēn	quan2 shen1	quan2 shen1	名
1603	4	缺	quē	que1	que1	动
1604	4	缺点	quēdiǎn	que1 dian3	que1 dian3	名
1605	4	缺少	quēshǎo	que1 shao3	que1 shao3	动
1606	4	却	què	que4	que4	副
1607	4	确实	quèshí	que4 shi2	que4 shi2	副
1608	4	然而	rán’ér	ran2 er2	ran2 er2	连
1609	4	热闹	rènao	ren4 ao5	ren4 ao5	形、动、名
1610	4	人生	rénshēng	ren2 sheng1	ren2 sheng1	名
1611	4	人数	rénshù	ren2 shu4	ren2 shu4	名
1612	4	人员	rényuán	ren2 yuan2	ren2 yuan2	名
1613	4	任何	rènhé	ren4 he2	ren4 he2	代
1614	4	任务	rènwu	ren4 wu5	ren4 wu5	名
1615	4	扔	rēng	reng1	reng1	动
1616	4	仍	réng	reng2	reng2	副
1617	4	仍然	réngrán	rengr2 an2	reng2 r5 an2	副
1618	4	日常	rìcháng	ri4 chang2	ri4 chang2	形
1619	4	日记	rìjì	ri4 ji4	ri4 ji4	名
1620	4	日期	rìqī	ri4 qi1	ri4 qi1	名
1621	4	日子	rìzi	ri4 zi5	ri4 zi5	名
1622	4	入	rù	ru4	ru4	动
1623	4	入口	rùkǒu	ru4 kou3	ru4 kou3	名
1624	4	入学	rùxué	ru4 xue2	ru4 xue2	动
1625	4	入住	rùzhù	ru4 zhu4	ru4 zhu4	动
1626	4	散步	sànbù	san4 bu4	san4 bu4	动
1627	4	扫码	sǎomǎ	sao3 ma3	sao3 ma3	动
1628	4	森林	sēnlín	sen1 lin2	sen1 lin2	名
1629	4	商量	shāngliang	shang1 liang5	shang1 liang5	动
1630	4	商品	shāngpǐn	shang1 pin3	shang1 pin3	名
1631	4	伤心	shāngxīn	shang1 xin1	shang1 xin1	形
1632	4	上门	shàngmén	shang4 men2	shang4 men2	动
1633	4	稍	shāo	shao1	shao1	副
1634	4	稍微	shāowēi	shao1 wei1	shao1 wei1	副
1635	4	少见	shǎojiàn	shao3 jian4	shao3 jian4	形
1636	4	少量	shǎoliàng	shao3 liang4	shao3 liang4	形
1637	4	少数	shǎoshù	shao3 shu4	shao3 shu4	名
1638	4	少年	shàonián	shao4 nian2	shao4 nian2	名
1639	4	社会	shèhuì	she4 hui4	she4 hui4	名
1640	4	摄氏度	shèshìdù	she4 shi4 du4	she4 shi4 du4	量
1641	4	身	shēn	shen1	shen1	名、量
1642	4	深	shēn	shen1	shen1	形
1642	5	深	shēn	shen1	shen1	副
1643	4	身份证	shēnfènzhèng	shen1 fen4 zheng4	shen1 fen4 zheng4	名
1644	4	申请	shēnqǐng	shen1 qing3	shen1 qing3	动
1645	4	甚至	shènzhì	shen4 zhi4	shen4 zhi4	连
1646	4	生1	shēng	sheng1	sheng1	动
1647	4	生2	shēng	sheng1	sheng1	形
1647	7-9	生2	shēng	sheng1	sheng1	副
1648	4	生命	shēngmìng	sheng1 ming4	sheng1 ming4	名
1649	4	生意	shēngyi	sheng1 yi5	sheng1 yi5	名
1650	4	省1	shěng	sheng3	sheng3	名
1651	4	剩	shèng	sheng4	sheng4	动
1652	4	失败	shībài	shi1 bai4	shi1 bai4	动、形
1653	4	师傅	shīfu	shi1 fu5	shi1 fu5	名
1654	4	失去	shīqù	shi1 qu4	shi1 qu4	动
1655	4	师生	shīshēng	shi1 sheng1	shi1 sheng1	名
1656	4	失望	shīwàng	shi1 wang4	shi1 wang4	动、形
1657	4	十分	shífēn	shi2 fen1	shi2 fen1	副
1658	4	实际	shíjì	shi2 ji4	shi2 ji4	名、形
1659	4	时间表	shíjiānbiǎo	shi2 jian1 biao3	shi2 jian1 biao3	名
1660	4	实际上	shíjìshàng	shi2 ji4 shang4	shi2 ji4 shang4	副
1661	4	食品	shípǐn	shi2 pin3	shi2 pin3	名
1662	4	食堂	shítáng	shi2 tang2	shi2 tang2	名
1663	4	食物	shíwù	shi2 wu4	shi2 wu4	名
1664	4	实在	shízài	shi2 zai4	shi2 zai4	形、副
1665	4	十字路口	shízìlùkǒu	shi2 zi4 lu4 kou3	shi2 zi4 lu4 kou3	
1666	4	使	shǐ	shi3	shi3	动
1667	4	使馆	shǐguǎn	shi3 guan3	shi3 guan3	名
1668	4	使用	shǐyòng	shi3 yong4	shi3 yong4	动
1669	4	市场	shìchǎng	shi4 chang3	shi4 chang3	名
1670	4	是否	shìfǒu	shi4 fou3	shi4 fou3	副
1671	4	适合	shìhé	shi4 he2	shi4 he2	动
1672	4	世纪	shìjì	shi4 ji4	shi4 ji4	名
1673	4	视频	shìpín	shi4 pin2	shi4 pin2	名
1674	4	市区	shìqū	shi4 qu1	shi4 qu1	名
1675	4	试题	shìtí	shi4 ti2	shi4 ti2	名
1676	4	适应	shìyìng	shi4 ying4	shi4 ying4	动
1677	4	收费	shōufèi	shou1 fei4	shou1 fei4	动
1678	4	收入	shōurù	shou1 ru4	shou1 ru4	动、名
1679	4	收拾	shōushi	shou1 shi5	shou1 shi5	动
1680	4	收听	shōutīng	shou1 ting1	shou1 ting1	动
1681	4	首	shǒu	shou3	shou3	量
1682	4	首都	shǒudū	shou3 du1	shou3 du1	名
1683	4	首先	shǒuxiān	shou3 xian1	shou3 xian1	副、代
1684	4	受不了	shòubuliǎo	shou4 bu5 liao3	shou4 bu4 liao3	动
1685	4	售票员	shòupiàoyuán	shou4 piao4 yuan2	shou4 piao4 yuan2	名
1686	4	受伤	shòushāng	shou4 shang1	shou4 shang1	动
1687	4	输	shū	shu1	shu1	动
1688	4	熟	shú/shóu	shu2/shou2	shu2/shou2	形
1689	4	熟悉	shúxi	shu2 xi5	shu2 xi5	动
1690	4	暑假	shǔjià	shu3 jia4	shu3 jia4	名
1691	4	数	shù	shu4	shu4	名、数
1692	4	数量	shùliàng	shu4 liang4	shu4 liang4	名
1693	4	树林	shùlín	shu4 lin2	shu4 lin2	名
1694	4	数字	shùzì	shu4 zi4	shu4 zi4	名
1695	4	帅	shuài	shuai4	shuai4	形
1696	4	顺便	shùnbiàn	shun4 bian4	shun4 bian4	副
1697	4	顺利	shùnlì	shun4 li4	shun4 li4	形
1698	4	顺序	shùnxù	shun4 xu4	shun4 xu4	名
1699	4	说法	shuōfǎ	shuo1 fa3	shuo1 fa3	名
1700	4	说明	shuōmíng	shuo1 ming2	shuo1 ming2	动、名
1701	4	说明书	shuōmíngshū	shuo1 ming2 shu1	shuo1 ming2 shu1	名
1702	4	硕士	shuòshì	shuo4 shi4	shuo4 shi4	名
1703	4	死	sǐ	si3	si3	动、形
1703	5	死	sǐ	si3	si3	副
1704	4	速度	sùdù	su4 du4	su4 du4	名
1705	4	塑料	sùliào	su4 liao4	su4 liao4	名
1706	4	酸	suān	suan1	suan1	形
1707	4	酸奶	suānnǎi	suan1 nai3	suan1 nai3	名
1708	4	算	suàn	suan4	suan4	动、副
1709	4	随便	suíbiàn	sui2 bian4	sui2 bian4	动、形、连
1710	4	随着	suízhe	sui2 zhe5	sui2 zhe5	介
1711	4	孙女	sūnnǚ	sun1 nü3	sun1 nü3	名
1712	4	孙子	sūnzi	sun1 zi5	sun1 zi5	名
1713	4	所有	suǒyǒu	suo3 you3	suo3 you3	形
1713	5	所有	suǒyǒu	suo3 you3	suo3 you3	动、名
1714	4	台	tái	tai2	tai2	量
1714	5	台	tái	tai2	tai2	名
1715	4	抬	tái	tai2	tai2	动
1716	4	抬头	táitóu	tai2 tou2	tai2 tou2	动
1717	4	态度	tàidù	tai4 du4	tai4 du4	名
1718	4	弹	tán	tan2	tan2	动
1719	4	谈	tán	tan2	tan2	动
1720	4	汤	tāng	tang1	tang1	名
1721	4	躺	tǎng	tang3	tang3	动
1722	4	趟	tàng	tang4	tang4	量
1723	4	讨论	tǎolùn	tao3 lun4	tao3 lun4	动
1724	4	讨厌	tǎoyàn	tao3 yan4	tao3 yan4	形、动
1725	4	特点	tèdiǎn	te4 dian3	te4 dian3	名
1726	4	提	tí	ti2	ti2	动
1727	4	提出	tíchū	ti2 chu1	ti2 chu1	动
1728	4	提到	tídào	ti2 dao4	ti2 dao4	动
1729	4	提供	tígōng	ti2 gong1	ti2 gong1	动
1730	4	提前	tíqián	ti2 qian2	ti2 qian2	动
1731	4	提醒	tíxǐng	ti2 xing3	ti2 xing3	动
1732	4	体检	tǐjiǎn	ti3 jian3	ti3 jian3	动
1733	4	体温	tǐwēn	ti3 wen1	ti3 wen1	名
1734	4	体重	tǐzhòng	ti3 zhong4	ti3 zhong4	名
1735	4	填写	tiánxiě	tian2 xie3	tian2 xie3	动
1736	4	条件	tiáojiàn	tiao2 jian4	tiao2 jian4	名
1737	4	听力	tīnglì	ting1 li4	ting1 li4	名
1738	4	听众	tīngzhòng	ting1 zhong4	ting1 zhong4	名
1739	4	停	tíng	ting2	ting2	动
1740	4	停车	tíngchē	ting2 che1	ting2 che1	动
1741	4	停车场	tíngchēchǎng	ting2 che1 chang3	ting2 che1 chang3	名
1742	4	停止	tíngzhǐ	ting2 zhi3	ting2 zhi3	动
1743	4	通	tōng	tong1	tong1	动、形
1743	7-9	通	tōng	tong1	tong1	量
1744	4	通过	tōngguò	tong1 guo4	tong1 guo4	动、介
1745	4	通知	tōngzhī	tong1 zhi1	tong1 zhi1	动、名
1746	4	童年	tóngnián	tong2 nian2	tong2 nian2	名
1747	4	同时	tóngshí	tong2 shi2	tong2 shi2	名、连
1748	4	同样	tóngyàng	tong2 yang4	tong2 yang4	形
1749	4	桶	tǒng	tong3	tong3	名
1750	4	痛	tòng	tong4	tong4	形
1750	7-9	痛	tòng	tong4	tong4	副
1751	4	头痛	tóutòng	tou2 tong4	tou2 tong4	形
1752	4	图	tú	tu2	tu2	名
1752	7-9	图	tú	tu2	tu2	动
1753	4	图片	túpiàn	tu2 pian4	tu2 pian4	名
1754	4	土	tǔ	tu3	tu3	名
1754	6	土	tǔ	tu3	tu3	形
1755	4	推	tuī	tui1	tui1	动
1756	4	推迟	tuīchí	tui1 chi2	tui1 chi2	动
1757	4	推出	tuīchū	tui1 chu1	tui1 chu1	动
1758	4	脱	tuō	tuo1	tuo1	动
1759	4	袜子	wàzi	wa4 zi5	wa4 zi5	名
1760	4	外出	wàichū	wai4 chu1	wai4 chu1	动
1761	4	外套	wàitào	wai4 tao4	wai4 tao4	名
1762	4	完全	wánquán	wan2 quan2	wan2 quan2	形、副
1763	4	晚安	wǎn’ān	wan3 an1	wan3 an1	动
1764	4	晚餐	wǎncān	wan3 can1	wan3 can1	名
1765	4	网购	wǎnggòu	wang3 gou4	wang3 gou4	动
1766	4	往往	wǎngwǎng	wang3 wang3	wang3 wang3	副
1767	4	网页	wǎngyè	wang3 ye4	wang3 ye4	名
1768	4	网友	wǎngyǒu	wang3 you3	wang3 you3	名
1769	4	网址	wǎngzhǐ	wang3 zhi3	wang3 zhi3	名
1770	4	危险	wēixiǎn	wei1 xian3	wei1 xian3	形、名
1771	4	为1	wéi	wei2	wei2	动
1772	4	味	wèi	wei4	wei4	名
1773	4	味道	wèidào	wei4 dao4	wei4 dao4	名
1774	4	卫生	wèishēng	wei4 sheng1	wei4 sheng1	形、名
1775	4	温度	wēndù	wen1 du4	wen1 du4	名
1776	4	闻	wén	wen2	wen2	动
1777	4	文件	wénjiàn	wen2 jian4	wen2 jian4	名
1778	4	文章	wénzhāng	wen2 zhang1	wen2 zhang1	名
1779	4	文字	wénzì	wen2 zi4	wen2 zi4	名
1780	4	污染	wūrǎn	wur1 an3	wu1 r5 an3	动
1781	4	无	wú	wu2	wu2	动
1782	4	无法	wúfǎ	wu2 fa3	wu2 fa3	动
1783	4	无聊	wúliáo	wu2 liao2	wu2 liao2	形
1784	4	无论	wúlùn	wu2 lun4	wu2 lun4	连
1785	4	午餐	wǔcān	wu3 can1	wu3 can1	名
1786	4	误会	wùhuì	wu4 hui4	wu4 hui4	动、名
1787	4	吸	xī	xi1	xi1	动
1788	4	西部	xībù	xi1 bu4	xi1 bu4	名
1789	4	西红柿	xīhóngshì	xi1 hong2 shi4	xi1 hong2 shi4	名
1790	4	吸引	xīyǐn	xi1 yin3	xi1 yin3	动
1791	4	细	xì	xi4	xi4	形
1792	4	细心	xìxīn	xi4 xin1	xi4 xin1	形
1793	4	下降	xiàjiàng	xia4 jiang4	xia4 jiang4	动
1794	4	鲜	xiān	xian1	xian1	形
1795	4	鲜花	xiānhuā	xian1 hua1	xian1 hua1	名
1796	4	咸	xián	xian2	xian2	形
1797	4	现金	xiànjīn	xian4 jin1	xian4 jin1	名
1798	4	羡慕	xiànmù	xian4 mu4	xian4 mu4	动
1799	4	线上	xiànshàng	xian4 shang4	xian4 shang4	名
1800	4	线下	xiànxià	xian4 xia4	xian4 xia4	名
1801	4	现有	xiànyǒu	xian4 you3	xian4 you3	动、形
1802	4	香	xiāng	xiang1	xiang1	形
1803	4	相比	xiāngbǐ	xiang1 bi3	xiang1 bi3	动
1804	4	相反	xiāngfǎn	xiang1 fan3	xiang1 fan3	形、连
1805	4	相互	xiānghù	xiang1 hu4	xiang1 hu4	副
1806	4	相同	xiāngtóng	xiang1 tong2	xiang1 tong2	形
1807	4	详细	xiángxì	xiang2 xi4	xiang2 xi4	形
1808	4	响	xiǎng	xiang3	xiang3	动、形
1809	4	想法	xiǎngfǎ	xiang3 fa3	xiang3 fa3	名
1810	4	项	xiàng	xiang4	xiang4	量
1811	4	消息	xiāoxi	xiao1 xi5	xiao1 xi5	名
1812	4	小吃	xiǎochī	xiao3 chi1	xiao3 chi1	名
1813	4	小伙子	xiǎohuǒzi	xiao3 huo3 zi5	xiao3 huo3 zi5	名
1814	4	小说	xiǎoshuō	xiao3 shuo1	xiao3 shuo1	名
1815	4	小组	xiǎozǔ	xiao3 zu3	xiao3 zu3	名
1816	4	效果	xiàoguǒ	xiao4 guo3	xiao4 guo3	名
1817	4	笑话	xiàohua	xiao4 hua5	xiao4 hua5	名、动
1818	4	血	xiě	xie3	xie3	名
1819	4	心	xīn	xin1	xin1	名
1820	4	辛苦	xīnkǔ	xin1 ku3	xin1 ku3	形、动
1821	4	心情	xīnqíng	xin1 qing2	xin1 qing2	名
1822	4	信号	xìnhào	xin4 hao4	xin4 hao4	名
1823	4	信息	xìnxī	xin4 xi1	xin4 xi1	名
1824	4	信心	xìnxīn	xin4 xin1	xin4 xin1	名
1825	4	兴奋	xīngfèn	xing1 fen4	xing1 fen4	形、动
1826	4	星星	xīngxing	xing1 xing5	xing1 xing5	名
1827	4	醒	xǐng	xing3	xing3	动
1828	4	性	xìng	xing4	xing4	后缀
1829	4	性别	xìngbié	xing4 bie2	xing4 bie2	名
1830	4	幸福	xìngfú	xing4 fu2	xing4 fu2	名、形
1831	4	性格	xìnggé	xing4 ge2	xing4 ge2	名
1832	4	兄弟	xiōngdì	xiong1 di4	xiong1 di4	名
1833	4	熊	xióng	xiong2	xiong2	名
1834	4	修	xiū	xiu1	xiu1	动
1835	4	修理	xiūlǐ	xiu1 li3	xiu1 li3	动
1836	4	许多	xǔduō	xu3 duo1	xu3 duo1	数
1837	4	学费	xuéfèi	xue2 fei4	xue2 fei4	名
1838	4	学院	xuéyuàn	xue2 yuan4	xue2 yuan4	名
1839	4	压	yā	ya1	ya1	动
1840	4	压力	yālì	ya1 li4	ya1 li4	名
1841	4	牙膏	yágāo	ya2 gao1	ya2 gao1	名
1842	4	亚洲	Yàzhōu	ya4 zhou1	ya4 zhou1	名
1843	4	烟	yān	yan1	yan1	名
1844	4	盐	yán	yan2	yan2	名
1845	4	严格	yángé	yang2 e2	yang2 e2	形、动
1846	4	研究	yánjiū	yan2 jiu1	yan2 jiu1	动
1847	4	研究生	yánjiūshēng	yan2 jiu1 sheng1	yan2 jiu1 sheng1	名
1848	4	严重	yánzhòng	yan2 zhong4	yan2 zhong4	形
1849	4	演	yǎn	yan3	yan3	动
1850	4	演唱	yǎnchàng	yan3 chang4	yan3 chang4	动
1851	4	演出	yǎnchū	yan3 chu1	yan3 chu1	动
1852	4	眼镜	yǎnjìng	yan3 jing4	yan3 jing4	名
1853	4	眼前	yǎnqián	yan3 qian2	yan3 qian2	名
1854	4	演员	yǎnyuán	yan3 yuan2	yan3 yuan2	名
1855	4	阳光	yángguāng	yang2 guang1	yang2 guang1	名
1856	4	养成	yǎngchéng	yang3 cheng2	yang3 cheng2	动
1857	4	样子	yàngzi	yang4 zi5	yang4 zi5	名
1858	4	邀请	yāoqǐng	yao1 qing3	yao1 qing3	动
1859	4	要是	yàoshi	yao4 shi5	yao4 shi5	连
1860	4	钥匙	yàoshi	yao4 shi5	yao4 shi5	名
1861	4	也许	yěxǔ	ye3 xu3	ye3 xu3	副
1862	4	夜	yè	ye4	ye4	名、量
1863	4	夜晚	yèwǎn	ye4 wan3	ye4 wan3	名
1864	4	叶子	yèzi	ye4 zi5	ye4 zi5	名
1865	4	一切	yíqiè	yi2 qie4	yi1 qie4	代
1866	4	已	yǐ	yi3	yi3	副
1867	4	以内	yǐnèi	yin3 ei4	yin3 ei4	名
1868	4	意见	yìjiàn	yi4 jian4	yi4 jian4	名
1869	4	一生	yìshēng	yi4 sheng1	yi1 sheng1	名
1870	4	艺术	yìshù	yi4 shu4	yi4 shu4	名
1871	4	因此	yīncǐ	yin1 ci3	yin1 ci3	连
1872	4	引起	yǐnqǐ	yin3 qi3	yin3 qi3	动
1873	4	印象	yìnxiàng	yin4 xiang4	yin4 xiang4	名
1874	4	赢	yíng	ying2	ying2	动
1875	4	赢得	yíngdé	ying2 de2	ying2 de2	动
1876	4	应聘	yìngpìn	ying4 pin4	ying4 pin4	动
1877	4	勇敢	yǒnggǎn	yong3 gan3	yong3 gan3	形
1878	4	永远	yǒngyuǎn	yong3 yuan3	yong3 yuan3	副、名
1879	4	用来	yònglái	yong4 lai2	yong4 lai2	动
1880	4	用于	yòngyú	yong4 yu2	yong4 yu2	动
1881	4	优点	yōudiǎn	you1 dian3	you1 dian3	名
1882	4	幽默	yōumò	you1 mo4	you1 mo4	形
1883	4	优秀	yōuxiù	you1 xiu4	you1 xiu4	形
1884	4	由	yóu	you2	you2	介
1885	4	油	yóu	you2	you2	名
1886	4	尤其	yóuqí	you2 qi2	you2 qi2	副
1887	4	游玩	yóuwán	you2 wan2	you2 wan2	动
1888	4	由于	yóuyú	you2 yu2	you2 yu2	介、连
1889	4	友好	yǒuhǎo	you3 hao3	you3 hao3	形
1890	4	友情	yǒuqíng	you3 qing2	you3 qing2	名
1891	4	有趣	yǒuqù	you3 qu4	you3 qu4	形
1892	4	有效	yǒuxiào	you3 xiao4	you3 xiao4	动
1893	4	友谊	yǒuyì	you3 yi4	you3 yi4	名
1894	4	有着	yǒuzhe	you3 zhe5	you3 zhe5	动
1895	4	愉快	yúkuài	yu2 kuai4	yu2 kuai4	形
1896	4	于是	yúshì	yu2 shi4	yu2 shi4	连
1897	4	与	yǔ	yu3	yu3	介、连
1898	4	语法	yǔfǎ	yu3 fa3	yu3 fa3	名
1899	4	预习	yùxí	yu4 xi2	yu4 xi2	动
1900	4	原来	yuánlái	yuan2 lai2	yuan2 lai2	名、形、副
1901	4	原谅	yuánliàng	yuan2 liang4	yuan2 liang4	动
1902	4	原因	yuányīn	yuan2 yin1	yuan2 yin1	名
1903	4	远离	yuǎnlí	yuan3 li2	yuan3 li2	动
1904	4	院长	yuànzhǎng	yuan4 zhang3	yuan4 zhang3	名
1905	4	院子	yuànzi	yuan4 zi5	yuan4 zi5	名
1906	4	约	yuē	yue1	yue1	动、副
1907	4	约会	yuēhuì	yue1 hui4	yue1 hui4	动、名
1908	4	月饼	yuèbing	yue4 bing5	yue4 bing5	名
1909	4	阅读	yuèdú	yue4 du2	yue4 du2	动
1910	4	月份	yuèfèn	yue4 fen4	yue4 fen4	名
1911	4	云	yún	yun2	yun2	名
1912	4	允许	yǔnxǔ	yun3 xu3	yun3 xu3	动
1913	4	杂志	zázhì	za2 zhi4	za2 zhi4	名
1914	4	再次	zàicì	zai4 ci4	zai4 ci4	副
1915	4	再说	zàishuō	zai4 shuo1	zai4 shuo1	动、连
1916	4	暂时	zànshí	zan4 shi2	zan4 shi2	形
1917	4	暂停	zàntíng	zan4 ting2	zan4 ting2	动
1918	4	早餐	zǎocān	zao3 can1	zao3 can1	名
1919	4	早晨	zǎochen	zao3 chen5	zao3 chen5	名
1920	4	责任	zérèn	zer2 en4	ze2 r5 en4	名
1921	4	增加	zēngjiā	zeng1 jia1	zeng1 jia1	动
1922	4	增长	zēngzhǎng	zeng1 zhang3	zeng1 zhang3	动
1923	4	招聘	zhāopìn	zhao1 pin4	zhao1 pin4	动
1924	4	着	zháo	zhao2	zhao2	动
1925	4	着火	zháohuǒ	zhao2 huo3	zhao2 huo3	动
1926	4	者	zhě	zhe3	zhe3	助
1927	4	真正	zhēnzhèng	zhen1 zheng4	zhen1 zheng4	形、副
1928	4	整	zhěng	zheng3	zheng3	形
1929	4	整个	zhěnggè	zheng3 ge4	zheng3 ge4	形
1930	4	整理	zhěnglǐ	zheng3 li3	zheng3 li3	动
1931	4	证	zhèng	zheng4	zheng4	名
1932	4	正常	zhèngcháng	zheng4 chang2	zheng4 chang2	形
1933	4	正好	zhènghǎo	zheng4 hao3	zheng4 hao3	形、副
1934	4	证件	zhèngjiàn	zheng4 jian4	zheng4 jian4	名
1935	4	证明	zhèngmíng	zheng4 ming2	zheng4 ming2	动、名
1936	4	正确	zhèngquè	zheng4 que4	zheng4 que4	形
1937	4	正式	zhèngshì	zheng4 shi4	zheng4 shi4	形
1938	4	之1	zhī	zhi1	zhi1	助
1939	4	支持	zhīchí	zhi1 chi2	zhi1 chi2	动
1940	4	支付	zhīfù	zhi1 fu4	zhi1 fu4	动
1941	4	之后	zhīhòu	zhi1 hou4	zhi1 hou4	名
1942	4	之间	zhījiān	zhi1 jian1	zhi1 jian1	名
1943	4	之前	zhīqián	zhi1 qian2	zhi1 qian2	名
1944	4	知识	zhīshi	zhi1 shi5	zhi1 shi5	名
1945	4	之中	zhīzhōng	zhi1 zhong1	zhi1 zhong1	名
1946	4	值	zhí	zhi2	zhi2	动、形
1947	4	值得	zhídé	zhi2 de2	zhi2 de2	动
1948	4	直接	zhíjiē	zhi2 jie1	zhi2 jie1	形
1949	4	植物	zhíwù	zhi2 wu4	zhi2 wu4	名
1950	4	职业	zhíyè	zhi2 ye4	zhi2 ye4	名
1951	4	指	zhǐ	zhi3	zhi3	动
1952	4	指出	zhǐchū	zhi3 chu1	zhi3 chu1	动
1953	4	只好	zhǐhǎo	zhi3 hao3	zhi3 hao3	副
1954	4	纸巾	zhǐjīn	zhi3 jin1	zhi3 jin1	名
1955	4	质量	zhìliàng	zhi4 liang4	zhi4 liang4	名
1956	4	至少	zhìshǎo	zhi4 shao3	zhi4 shao3	副
1957	4	中餐	zhōngcān	zhong1 can1	zhong1 can1	名
1958	4	中年	zhōngnián	zhong1 nian2	zhong1 nian2	名
1959	4	种	zhòng	zhong4	zhong4	动
1960	4	重	zhòng	zhong4	zhong4	名、形
1961	4	重点	zhòngdiǎn	zhong4 dian3	zhong4 dian3	名、副
1962	4	重视	zhòngshì	zhong4 shi4	zhong4 shi4	动
1963	4	周围	zhōuwéi	zhou1 wei2	zhou1 wei2	名
1964	4	主意	zhǔyi	zhu3 yi5	zhu3 yi5	名
1965	4	祝	zhù	zhu4	zhu4	动
1966	4	祝贺	zhùhè	zhu4 he4	zhu4 he4	动
1967	4	著名	zhùmíng	zhu4 ming2	zhu4 ming2	形
1968	4	专门	zhuānmén	zhuan1 men2	zhuan1 men2	副、形
1969	4	专业	zhuānyè	zhuan1 ye4	zhuan1 ye4	名、形
1970	4	转	zhuǎn	zhuan3	zhuan3	动
1971	4	转发	zhuǎnfā	zhuan3 fa1	zhuan3 fa1	动
1972	4	转机1	zhuǎnjī	zhuan3 ji1	zhuan3 ji1	动
1973	4	赚	zhuàn	zhuan4	zhuan4	动
1974	4	装	zhuāng	zhuang1	zhuang1	动
1975	4	准	zhǔn	zhun3	zhun3	形
1975	5	准	zhǔn	zhun3	zhun3	副
1976	4	准确	zhǔnquè	zhun3 que4	zhun3 que4	形
1977	4	准时	zhǔnshí	zhun3 shi2	zhun3 shi2	形
1978	4	资料	zīliào	zi1 liao4	zi1 liao4	名
1979	4	仔细	zǐxì	zi3 xi4	zi3 xi4	形
1980	4	自	zì	zi4	zi4	介
1981	4	自然	zìrán	zir4 an2	zi4 r5 an2	名、形、副
1982	4	自习	zìxí	zi4 xi2	zi4 xi2	动
1983	4	自信	zìxìn	zi4 xin4	zi4 xin4	动、名、形
1984	4	自学	zìxué	zi4 xue2	zi4 xue2	动
1985	4	总结	zǒngjié	zong3 jie2	zong3 jie2	动、名
1986	4	租	zū	zu1	zu1	动
1987	4	组	zǔ	zu3	zu3	名
1987	5	组	zǔ	zu3	zu3	动、量
1988	4	最终	zuìzhōng	zui4 zhong1	zui4 zhong1	名
1989	4	尊重	zūnzhòng	zun1 zhong4	zun1 zhong4	动、形
1990	4	左右	zuǒyòu	zuo3 you4	zuo3 you4	名
1990	7-9	左右	zuǒyòu	zuo3 you4	zuo3 you4	动
1991	4	座	zuò	zuo4	zuo4	名、量
1992	4	做法	zuòfǎ	zuo4 fa3	zuo4 fa3	名
1993	4	作家	zuòjiā	zuo4 jia1	zuo4 jia1	名
1994	4	做梦	zuòmèng	zuo4 meng4	zuo4 meng4	动
1995	4	作品	zuòpǐn	zuo4 pin3	zuo4 pin3	名
1996	4	作为1	zuòwéi	zuo4 wei2	zuo4 wei2	动、介
1997	4	座位	zuòwèi	zuo4 wei4	zuo4 wei4	名
1998	4	作文	zuòwén	zuo4 wen2	zuo4 wen2	动、名
1999	4	作用	zuòyòng	zuo4 yong4	zuo4 yong4	名
1999	6	作用	zuòyòng	zuo4 yong4	zuo4 yong4	动
2000	4	作者	zuòzhě	zuo4 zhe3	zuo4 zhe3	名
2001	5	哎	āi	ai1	ai1	叹
2002	5	哎呀	āiyā	ai1 ya1	ai1 ya1	叹
2003	5	唉	ài	ai4	ai4	叹
2004	5	爱护	àihù	ai4 hu4	ai4 hu4	动
2005	5	安	ān	an1	an1	形、动
2006	5	安全带	ānquándài	an1 quan2 dai4	an1 quan2 dai4	名
2007	5	安慰	ānwèi	an1 wei4	an1 wei4	动、形
2008	5	安装	ānzhuāng	an1 zhuang1	an1 zhuang1	动
2009	5	暗	àn	an4	an4	形
2010	5	熬夜	áoyè	ao2 ye4	ao2 ye4	动
2011	5	把握	bǎwò	ba3 wo4	ba3 wo4	动、名
2012	5	白	bái	bai2	bai2	形、副
2013	5	半夜	bànyè	ban4 ye4	ban4 ye4	数量、名
2014	5	傍晚	bàngwǎn	bang4 wan3	bang4 wan3	名
2015	5	包裹	bāoguǒ	bao1 guo3	bao1 guo3	动、名
2016	5	包含	bāohán	bao1 han2	bao1 han2	动
2017	5	包括	bāokuò	bao1 kuo4	bao1 kuo4	动
2018	5	包装	bāozhuāng	bao1 zhuang1	bao1 zhuang1	动、名
2019	5	薄	báo	bao2	bao2	形
2020	5	宝	bǎo	bao3	bao3	名
2021	5	保	bǎo	bao3	bao3	动、名
2022	5	保安	bǎo’ān	bao3 an1	bao3 an1	动、名
2023	5	宝贝	bǎobèi	bao3 bei4	bao3 bei4	名
2024	5	保持	bǎochí	bao3 chi2	bao3 chi2	动
2025	5	保存	bǎocún	bao3 cun2	bao3 cun2	动
2026	5	宝贵	bǎoguì	bao3 gui4	bao3 gui4	形
2027	5	保留	bǎoliú	bao3 liu2	bao3 liu2	动
2028	5	保险	bǎoxiǎn	bao3 xian3	bao3 xian3	名、形
2029	5	保质期	bǎozhìqī	bao3 zhi4 qi1	bao3 zhi4 qi1	名
